snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-06-20T10:20:41.895377+00:00,367954936,Polobezh,M,2043320641261,Владимир,4,0,0
2026-06-20T10:20:41.895377+00:00,612434640,Milanablack,L,2047246194573,Невинномысск,1,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,S,2043177808701,Калининград,1,0,0
2026-06-20T10:20:41.895377+00:00,384578439,Dressbraun,S,2043547518612,СЦ Ярославль Громова,0,0,0
2026-06-20T10:20:41.895377+00:00,384578439,Dressbraun,S,2043547518612,Владимир,2,0,0
2026-06-20T10:20:41.895377+00:00,419352159,Rusha,XL,2044026229920,Сарапул,2,0,0
2026-06-20T10:20:41.895377+00:00,419352159,Rusha,XL,2044026229920,Электросталь,4,0,0
2026-06-20T10:20:41.895377+00:00,419352159,Rusha,XL,2044026229920,Тула,2,0,0
2026-06-20T10:20:41.895377+00:00,449795236,Suitblue,146,2044537443884,Электросталь,3,0,0
2026-06-20T10:20:41.895377+00:00,314335767,Gold,хл,2042535684711,СЦ Ярославль Громова,0,0,1
2026-06-20T10:20:41.895377+00:00,540151286,jacket,XS,2046237560540,Тула,0,0,0
2026-06-20T10:20:41.895377+00:00,1017464481,Dressgepur,L,2051139387706,Электросталь,0,1,0
2026-06-20T10:20:41.895377+00:00,1017464481,Dressgepur,M,2051139387713,Екатеринбург - Перспективная 14,0,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,M,2043177808718,Казань,0,1,0
2026-06-20T10:20:41.895377+00:00,359686661,Dressblack,S,2043193437978,Остальные склады,0,6,6
2026-06-20T10:20:41.895377+00:00,359686661,Dressblack,S,2043193437978,Сургут,0,0,1
2026-06-20T10:20:41.895377+00:00,540151286,jacket,XS,2046237560540,Остальные склады,0,3,2
2026-06-20T10:20:41.895377+00:00,369541022,Amacolor,3XL,2043346615970,Остальные склады,0,1,1
2026-06-20T10:20:41.895377+00:00,128063963,pygovkagrey,140,2037013006994,Тула,1,0,0
2026-06-20T10:20:41.895377+00:00,128063963,pygovkagrey,140,2037013006994,Остальные склады,0,1,0
2026-06-20T10:20:41.895377+00:00,182674292,Pants52,XL,2038797035095,Владимир,1,0,0
2026-06-20T10:20:41.895377+00:00,182674292,Pants52,XL,2038797035095,СЦ Шушары,0,0,0
2026-06-20T10:20:41.895377+00:00,314335767,Gold,ХХЛ,2042535684728,СЦ Челябинск 2,0,0,1
2026-06-20T10:20:41.895377+00:00,181718655,Jeans,L,2038771667366,Остальные склады,0,2,1
2026-06-20T10:20:41.895377+00:00,314335767,Gold,ХХЛ,2042535684728,Остальные склады,0,1,1
2026-06-20T10:20:41.895377+00:00,314335767,Gold,ХХЛ,2042535684728,СЦ Оренбург Центральная,0,0,0
2026-06-20T10:20:41.895377+00:00,314335767,Gold,ХХЛ,2042535684728,Самара (Новосемейкино),1,0,0
2026-06-20T10:20:41.895377+00:00,36168914,sarafanschoolsarafanschool,134,2005254534019,Остальные склады,0,1,1
2026-06-20T10:20:41.895377+00:00,36168914,sarafanschoolsarafanschool,134,2005254534019,Казань,1,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,S,2043177808701,СЦ Липецк,0,0,1
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,S,2043177808701,СЦ Нижний Новгород Ларина,0,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,S,2043177808701,Коледино,0,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,S,2043177808701,СЦ Внуково,0,1,0
2026-06-20T10:20:41.895377+00:00,214385138,Bluejeans2,L,2039599440551,Остальные склады,0,0,1
2026-06-20T10:20:41.895377+00:00,214385138,Bluejeans2,L,2039599440551,Самара (Новосемейкино),1,0,0
2026-06-20T10:20:41.895377+00:00,359710654,Dressgrey,M,2043193903169,Самара (Новосемейкино),3,0,0
2026-06-20T10:20:41.895377+00:00,296831006,JeansGrey,L,2042128504372,СЦ Иркутск,0,0,1
2026-06-20T10:20:41.895377+00:00,296831006,JeansGrey,L,2042128504372,Остальные склады,0,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,M,2043177808718,СЦ Омск,0,1,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,M,2043177808718,Тула,1,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,M,2043177808718,Рязань (Тюшевское),0,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,M,2043177808718,Владимир,2,1,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,M,2043177808718,Воронеж,1,1,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,M,2043177808718,Самара (Новосемейкино),7,0,0
2026-06-20T10:20:41.895377+00:00,235818031,Polinablue,хл,2040261485763,Электросталь,1,0,0
2026-06-20T10:20:41.895377+00:00,235818031,Polinablue,хл,2040261485763,Остальные склады,0,2,1
2026-06-20T10:20:41.895377+00:00,384578439,Dressbraun,L,2043547518599,СЦ Гомель 2,0,0,1
2026-06-20T10:20:41.895377+00:00,384578439,Dressbraun,S,2043547518612,Тула,1,0,0
2026-06-20T10:20:41.895377+00:00,384578439,Dressbraun,S,2043547518612,Рязань (Тюшевское),8,0,0
2026-06-20T10:20:41.895377+00:00,384578439,Dressbraun,L,2043547518599,СЦ Оренбург Центральная,0,0,0
2026-06-20T10:20:41.895377+00:00,384578439,Dressbraun,S,2043547518612,Краснодар,0,0,2
2026-06-20T10:20:41.895377+00:00,214378880,Bluejeans,L,2039599361474,СПБ Шушары,1,0,0
2026-06-20T10:20:41.895377+00:00,214378880,Bluejeans,L,2039599361474,СЦ Шушары,0,0,0
2026-06-20T10:20:41.895377+00:00,314335767,Gold,M,2042535531558,Остальные склады,0,3,0
2026-06-20T10:20:41.895377+00:00,314335767,Gold,M,2042535531558,Краснодар,0,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,L,2043177808725,Владимир,0,2,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,L,2043177808725,СЦ Ярославль Громова,0,0,1
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,L,2043177808725,Тула,0,0,0
2026-06-20T10:20:41.895377+00:00,359686661,Dressblack,S,2043193437978,Владимир,0,1,0
2026-06-20T10:20:41.895377+00:00,272176613,Vilamablue,ONE SIZE,2041501729012,Казань,1,0,0
2026-06-20T10:20:41.895377+00:00,272176613,Vilamablue,ONE SIZE,2041501729012,Остальные склады,0,0,0
2026-06-20T10:20:41.895377+00:00,449795236,Suitblue,146,2044537443884,Екатеринбург - Перспективная 14,2,0,0
2026-06-20T10:20:41.895377+00:00,449795236,Suitblue,146,2044537443884,Остальные склады,0,0,0
2026-06-20T10:20:41.895377+00:00,384578439,Dressbraun,M,2043547518605,СЦ Гомель 2,0,0,1
2026-06-20T10:20:41.895377+00:00,384578439,Dressbraun,M,2043547518605,Рязань (Тюшевское),11,0,0
2026-06-20T10:20:41.895377+00:00,449795236,Suitblue,128,2044537443853,СЦ Шушары,0,1,0
2026-06-20T10:20:41.895377+00:00,449795236,Suitblue,128,2044537443853,СПБ Шушары,1,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,XS,2044131296640,Коледино,1,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,XS,2044131296640,Самара (Новосемейкино),3,1,0
2026-06-20T10:20:41.895377+00:00,449795236,Suitblue,134,2044537443860,Остальные склады,0,0,1
2026-06-20T10:20:41.895377+00:00,449795236,Suitblue,134,2044537443860,Екатеринбург - Перспективная 14,1,0,0
2026-06-20T10:20:41.895377+00:00,532147674,Maxiblack,S,2046105120999,Воронеж,0,1,0
2026-06-20T10:20:41.895377+00:00,540151286,jacket,M,2046237584898,Самара (Новосемейкино),1,1,0
2026-06-20T10:20:41.895377+00:00,540151286,jacket,S,2046237584133,СЦ Шушары,0,0,0
2026-06-20T10:20:41.895377+00:00,540151286,jacket,S,2046237584133,Рязань (Тюшевское),1,0,0
2026-06-20T10:20:41.895377+00:00,540151286,jacket,XL,2049839732391,Волгоград,0,0,0
2026-06-20T10:20:41.895377+00:00,1017464481,Dressgepur,S,2051139387720,Краснодар,0,0,0
2026-06-20T10:20:41.895377+00:00,1017464481,Dressgepur,S,2051139387720,СЦ Шушары,0,1,0
2026-06-20T10:20:41.895377+00:00,540151286,jacket,XXL,2049839732407,Остальные склады,0,3,3
2026-06-20T10:20:41.895377+00:00,540151286,jacket,XXL,2049839732407,Волгоград,0,0,0
2026-06-20T10:20:41.895377+00:00,141970468,Nuta,L,2037344669509,Сарапул,0,0,0
2026-06-20T10:20:41.895377+00:00,141970468,Nuta,L,2037344669509,Остальные склады,0,1,0
2026-06-20T10:20:41.895377+00:00,314335767,Gold,ХХЛ,2042535684728,Екатеринбург - Перспективная 14,0,1,0
2026-06-20T10:20:41.895377+00:00,359686661,Dressblack,M,2043193437961,Самара (Новосемейкино),0,1,0
2026-06-20T10:20:41.895377+00:00,90726355,blueblack,152,2036686401358,Казань,1,0,0
2026-06-20T10:20:41.895377+00:00,90726355,blueblack,152,2036686401358,Остальные склады,0,0,0
2026-06-20T10:20:41.895377+00:00,90726355,blueblack,146,2036686401341,Казань,2,0,0
2026-06-20T10:20:41.895377+00:00,90726355,blueblack,146,2036686401341,Остальные склады,0,0,0
2026-06-20T10:20:41.895377+00:00,90726355,blueblack,122,2036686401303,Казань,2,0,0
2026-06-20T10:20:41.895377+00:00,90726355,blueblack,122,2036686401303,Остальные склады,0,0,0
2026-06-20T10:20:41.895377+00:00,384578439,Dressbraun,XS,2044131266407,СПБ Шушары,4,0,0
2026-06-20T10:20:41.895377+00:00,384578439,Dressbraun,XS,2044131266407,Остальные склады,0,2,0
2026-06-20T10:20:41.895377+00:00,90726355,blueblack,140,2036686401334,Казань,5,0,0
2026-06-20T10:20:41.895377+00:00,90726355,blueblack,140,2036686401334,Остальные склады,0,0,0
2026-06-20T10:20:41.895377+00:00,217913160,Amazebra,L,2039672779219,Казань,3,0,0
2026-06-20T10:20:41.895377+00:00,217913160,Amazebra,L,2039672779219,Остальные склады,0,6,0
2026-06-20T10:20:41.895377+00:00,359686661,Dressblack,XS,2043887436669,Екатеринбург - Перспективная 14,0,1,0
2026-06-20T10:20:41.895377+00:00,359686661,Dressblack,S,2043193437978,Казань,2,0,0
2026-06-20T10:20:41.895377+00:00,359686661,Dressblack,S,2043193437978,СЦ Сыктывкар,0,0,0
2026-06-20T10:20:41.895377+00:00,359686661,Dressblack,XS,2043887436669,Тула,1,0,0
2026-06-20T10:20:41.895377+00:00,359686661,Dressblack,XS,2043887436669,СЦ Внуково,0,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,XS,2044131296640,СПБ Шушары,2,0,0
2026-06-20T10:20:41.895377+00:00,540151286,jacket,L,2046237586823,Екатеринбург - Перспективная 14,0,1,0
2026-06-20T10:20:41.895377+00:00,543719513,Vestdarkblue,XL,2046284946137,Самара (Новосемейкино),7,0,0
2026-06-20T10:20:41.895377+00:00,217914003,Amaprint,L,2039672825541,Самара (Новосемейкино),0,1,0
2026-06-20T10:20:41.895377+00:00,359710654,Dressgrey,M,2043193903169,Электросталь,0,1,0
2026-06-20T10:20:41.895377+00:00,182674292,Pants52,L,2038797035088,Коледино,0,0,0
2026-06-20T10:20:41.895377+00:00,182674292,Pants52,L,2038797035088,Остальные склады,0,1,0
2026-06-20T10:20:41.895377+00:00,540151286,jacket,XL,2049839732391,Белая дача,0,1,0
2026-06-20T10:20:41.895377+00:00,540151286,jacket,XL,2049839732391,Электросталь,3,0,0
2026-06-20T10:20:41.895377+00:00,540151286,jacket,L,2046237586823,Котовск,0,0,0
2026-06-20T10:20:41.895377+00:00,357265722,Dressbordo,M,2043177808718,СЦ Липецк,0,0,0
2026-06-20T10:20:41.895377+00:00,419352159,Rusha,L,2044026229913,СЦ Шушары,0,0,0
